EmployeeID,FirstName,LastName,Age,Gender,DepartmentID,JobRoleID,EducationID,Salary,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,OverTime,DistanceFromHome,JobSatisfaction,EnvironmentSatisfaction,PerformanceRating,WorkLifeBalance,HireDate,TerminationDate,EmployeeStatus,Attrition,TerminationReason
100001,Mark,Johnson,26,Male,2,5,1,68400,5700,1.6,1.6,Yes,9,4,4,3,2,2021-07-26,2023-02-17,Terminated,Yes,Better Compensation Elsewhere
100002,Donald,Walker,44,Male,3,11,3,49200,4100,0.1,0.1,Yes,12,3,3,3,1,2025-05-26,2025-07-19,Terminated,Yes,Layoff / Restructuring
100003,Noah,Rhodes,31,Male,8,30,4,59900,4990,1.4,0.3,Yes,5,4,2,3,3,2025-02-03,,Active,No,
100004,Stephanie,Miller,39,Female,4,14,2,81500,6790,0.5,0.1,No,3,2,4,3,3,2025-12-26,,Active,No,
100005,Jennifer,Johnson,42,Female,1,1,4,73600,6130,0.2,0.2,No,1,3,3,3,1,2026-05-02,,Active,No,
100006,Daniel,Wagner,44,Male,5,18,2,67600,5630,3.1,3.1,No,6,3,3,2,3,2023-06-12,,Active,No,
100007,Alexander,Gonzalez,23,Male,1,4,4,116400,9700,0.7,0.7,Yes,11,1,2,4,2,2025-10-25,,Active,No,
100008,Matthew,Gardner,39,Male,4,13,4,102600,8550,1.9,1.9,No,18,1,2,3,3,2024-08-12,,Active,No,
100009,Daniel,Lawrence,18,Male,1,1,2,55800,4650,1.0,1.0,No,3,4,3,4,4,2025-07-05,,Active,No,
100010,Robert,Smith,26,Male,4,13,3,77800,6480,1.2,0.1,No,2,2,2,4,3,2024-10-20,2025-12-25,Terminated,Yes,Return to Education
100011,Renee,Wolfe,29,Female,2,6,3,82700,6890,1.0,0.2,No,14,2,1,3,3,2024-08-19,2025-08-21,Terminated,Yes,Better Compensation Elsewhere
100012,Gerald,Moore,42,Male,5,19,4,74900,6240,0.4,0.4,No,1,4,2,3,3,2026-02-27,,Active,No,
100013,Tina,Rogers,33,Female,4,17,4,154200,12850,2.5,1.7,No,3,4,4,3,3,2024-01-20,,Active,No,
100014,Brandon,Davis,39,Male,1,4,2,92600,7720,2.7,0.0,No,1,4,4,3,2,2023-11-03,,Active,No,
100015,Sarah,Munoz,44,Female,2,6,3,82300,6860,2.1,0.2,Yes,3,2,4,4,3,2024-06-14,,Active,No,
100016,Robert,Blair,62,Male,6,25,2,91200,7600,3.2,1.3,No,1,2,4,4,4,2023-05-14,,Active,No,
100017,Kimberly,Dudley,35,Female,1,3,5,90000,7500,4.7,0.9,No,3,2,2,4,3,2021-10-19,,Active,No,
100018,Jamie,Arnold,39,Female,4,13,2,72800,6070,1.8,1.8,No,10,4,3,3,2,2024-09-21,,Active,No,
100019,Ronald,Montgomery,37,Male,7,27,4,74000,6170,1.2,1.2,No,12,3,3,3,1,2023-12-09,2025-03-08,Terminated,Yes,Work-Life Balance
100020,Scott,Ray,33,Male,2,7,4,87200,7270,1.1,0.3,No,5,2,3,2,1,2025-06-04,,Active,No,
100021,Michele,Williams,49,Female,4,15,3,89000,7420,1.0,1.0,No,2,1,1,3,4,2025-07-24,,Active,No,
100022,Darren,Roberts,33,Male,2,6,3,74000,6170,3.1,2.7,No,2,4,3,3,3,2023-06-08,,Active,No,
100023,Bobby,Hall,34,Male,2,6,3,85200,7100,1.6,0.5,No,4,3,3,3,1,2024-12-10,,Active,No,
100024,Brian,Ramirez,40,Male,4,15,1,78100,6510,2.5,0.1,No,7,3,3,3,3,2023-12-28,,Active,No,
100025,Madison,Diaz,41,Female,8,30,2,42100,3510,0.2,0.2,Yes,1,4,1,3,2,2026-05-07,2026-07-03,Terminated,Yes,Career Growth / Promotion Elsewhere
100026,Jacqueline,Clark,46,Female,1,4,4,127000,10580,4.0,1.3,No,1,4,4,3,3,2022-07-07,,Active,No,
100027,Debra,Zuniga,51,Female,2,5,2,70400,5870,1.9,1.8,No,14,4,3,4,1,2020-10-14,2022-09-03,Terminated,Yes,Policy Violation
100028,Matthew,Lynch,55,Male,8,31,3,50800,4230,1.0,1.0,No,11,4,1,2,3,2025-07-17,,Active,No,
100029,Christopher,Daniel,34,Male,3,11,2,57200,4770,0.4,0.4,Yes,1,4,1,3,4,2022-12-28,2023-05-13,Terminated,Yes,Performance
100030,Carla,Gray,47,Female,2,8,5,153700,12810,3.4,1.9,No,1,3,3,2,4,2023-01-28,,Active,No,
100031,William,Bowman,30,Male,1,1,2,55700,4640,2.6,2.6,No,7,3,2,3,4,2023-12-11,,Active,No,
100032,Kristin,Cohen,37,Female,1,4,1,85400,7120,2.0,2.0,No,5,4,3,3,3,2024-07-14,,Active,No,
100033,Sarah,Parsons,35,Female,1,1,3,63100,5260,0.5,0.5,No,3,1,4,3,4,2026-01-04,,Active,No,
100034,Daryl,Johnson,42,Male,2,7,4,98600,8220,1.7,1.7,No,10,3,4,2,4,2022-04-06,2023-12-01,Terminated,Yes,Policy Violation
100035,Ethan,Adams,39,Male,9,35,5,185800,15480,4.5,4.5,No,5,2,1,3,4,2021-12-22,,Active,No,
100036,Christine,Hahn,51,Female,9,33,4,110300,9190,0.7,0.7,No,1,3,2,3,3,2025-10-28,,Active,No,
100037,Sherri,Edwards,39,Female,1,1,3,73200,6100,4.7,2.0,No,6,3,2,3,1,2021-10-24,,Active,No,
100038,Matthew,Foster,32,Male,5,18,3,68800,5730,2.2,1.2,No,4,3,3,3,3,2024-04-29,,Active,No,
100039,Thomas,Ellis,36,Male,7,27,3,69800,5820,1.4,1.4,No,3,2,1,2,2,2016-11-17,2018-04-15,Terminated,Yes,Family / Personal Reasons
100040,Derek,Wright,44,Male,1,1,4,67400,5620,0.5,0.5,Yes,1,2,2,2,1,2026-01-21,,Active,No,
100041,Kristina,Baker,37,Female,2,6,1,53600,4470,4.0,2.5,No,1,4,1,3,2,2022-07-26,,Active,No,
100042,Kevin,Hurst,31,Male,1,1,3,53300,4440,1.1,1.1,Yes,11,2,4,3,4,2025-05-22,,Active,No,
100043,James,Robinson,51,Male,1,4,3,73800,6150,1.2,0.1,Yes,3,3,1,3,4,2025-05-10,,Active,No,
100044,Zachary,Hicks,28,Male,6,24,3,63600,5300,3.4,1.4,Yes,1,3,4,3,3,2023-02-25,,Active,No,
100045,Brandon,Williams,33,Male,4,16,3,81000,6750,0.4,0.4,Yes,2,4,1,3,3,2026-02-03,,Active,No,
100046,Ashley,Burton,40,Female,1,3,4,68900,5740,0.3,0.3,No,8,3,3,3,2,2025-10-15,2026-01-30,Terminated,Yes,Relocation
100047,Rebecca,Henderson,32,Female,4,15,3,83000,6920,2.1,0.4,No,5,1,3,2,2,2024-05-18,,Active,No,
100048,Amy,James,31,Female,2,7,4,93700,7810,2.2,1.6,No,4,4,4,2,4,2024-04-17,,Active,No,
100049,Whitney,Rice,41,Female,8,30,2,51000,4250,3.9,0.6,Yes,1,4,4,3,3,2022-08-13,,Active,No,
100050,Wesley,Valencia,34,Male,2,7,3,80800,6730,0.9,0.9,Yes,5,4,3,4,3,2025-08-22,,Active,No,
100051,Adam,Le,38,Male,1,1,2,59800,4980,3.9,2.4,No,6,4,2,3,2,2022-08-18,,Active,No,
100052,Melanie,Herrera,51,Female,1,2,3,64400,5370,4.2,0.3,Yes,14,3,4,3,2,2022-04-13,,Active,No,
100053,Derek,Davidson,50,Male,5,19,3,74800,6230,1.0,0.5,No,19,3,3,2,4,2025-06-24,,Active,No,
100054,Ashley,Graham,35,Female,4,14,4,100800,8400,2.1,2.1,No,20,2,3,3,3,2024-06-21,,Active,No,
100055,Jesse,Mckay,36,Male,8,31,5,71300,5940,4.5,0.3,No,20,3,3,2,3,2022-01-09,,Active,No,
100056,Sherri,Baker,45,Female,6,25,3,77000,6420,1.0,1.0,Yes,4,3,2,3,2,2025-06-22,,Active,No,
100057,Kathryn,White,47,Female,7,28,1,42600,3550,2.7,0.5,Yes,25,3,1,3,4,2023-11-03,,Active,No,
100058,Susan,Harrell,29,Female,1,2,2,56800,4730,0.5,0.1,No,5,1,4,3,3,2026-01-01,,Active,No,
100059,Edwin,Fowler,25,Male,2,7,4,97600,8130,7.2,1.2,No,2,3,1,3,2,2019-04-30,,Active,No,
100060,Lisa,Hernandez,30,Female,1,1,1,46700,3890,0.3,0.3,No,1,2,1,3,2,2026-04-03,,Active,No,
100061,Phillip,Ryan,52,Male,7,27,3,56600,4720,5.6,0.0,Yes,1,1,2,3,3,2020-12-09,,Active,No,
100062,Richard,Moreno,25,Male,6,22,3,56900,4740,0.7,0.7,No,4,3,2,3,4,2025-10-03,2026-06-07,Terminated,Yes,Retirement
100063,Aaron,Nguyen,33,Male,7,29,3,99500,8290,1.9,1.9,Yes,2,4,4,3,3,2024-08-07,,Active,No,
100064,Alec,Hickman,21,Male,1,3,3,65400,5450,4.4,0.6,Yes,1,4,4,3,3,2022-02-28,,Active,No,
100065,Shawn,Decker,35,Male,1,1,3,61800,5150,0.1,0.1,Yes,10,3,2,3,3,2026-05-28,,Active,No,
100066,Eric,Brown,42,Male,5,19,4,77400,6450,6.8,3.3,Yes,1,2,3,3,1,2019-09-20,,Active,No,
100067,Shawn,Arroyo,33,Male,2,7,4,89300,7440,1.7,1.7,Yes,4,4,4,3,3,2024-11-02,,Active,No,
100068,Bradley,Tucker,24,Male,2,6,4,88200,7350,3.2,3.2,No,8,4,2,3,3,2023-04-12,,Active,No,
100069,Benjamin,Hodges,44,Male,8,32,4,86400,7200,0.9,0.9,No,28,3,4,3,4,2025-08-27,,Active,No,
100070,Ralph,Anderson,23,Male,1,4,1,83600,6970,2.9,1.7,Yes,10,2,3,3,3,2023-08-03,,Active,No,
100071,John,Pierce,24,Male,7,29,4,107400,8950,0.1,0.1,No,6,4,4,3,3,2026-06-21,,Active,No,
100072,Deborah,Brennan,45,Female,3,12,4,105500,8790,0.1,0.1,Yes,10,1,3,3,2,2025-03-11,2025-04-29,Terminated,Yes,Relocation
100073,Jenny,Lewis,18,Female,9,34,2,84700,7060,7.4,3.9,No,1,4,4,3,3,2019-02-22,,Active,No,
100074,Joshua,Blair,48,Male,9,33,2,94400,7870,0.5,0.5,No,1,3,1,4,4,2026-01-17,,Active,No,
100075,Christina,Collins,33,Female,9,33,4,97000,8080,0.4,0.4,Yes,2,3,3,2,3,2026-02-10,,Active,No,
100076,Zachary,Santos,42,Male,2,7,2,73700,6140,1.1,1.1,No,2,3,1,3,2,2025-03-25,2026-05-05,Terminated,Yes,Work-Life Balance
100077,Jeffrey,Holmes,48,Male,4,17,4,160000,13330,2.1,1.2,No,16,4,4,3,4,2024-06-20,,Active,No,
100078,Barbara,Walker,46,Female,5,21,2,119000,9920,5.2,5.2,No,1,1,3,2,3,2021-04-13,,Active,No,
100079,George,Chapman,34,Male,7,28,3,65900,5490,9.8,2.5,No,2,3,4,3,2,2016-09-25,,Active,No,
100080,Crystal,Robinson,48,Female,8,30,2,42000,3500,6.8,2.9,Yes,1,4,1,3,3,2019-09-14,,Active,No,
100081,Benjamin,Welch,40,Male,1,2,1,48100,4010,1.0,1.0,No,11,3,2,3,4,2025-07-24,,Active,No,
100082,Darryl,Whitehead,43,Male,1,4,2,93700,7810,2.8,2.8,No,2,2,3,3,4,2023-09-18,,Active,No,
100083,Scott,Jones,45,Male,2,5,2,65300,5440,0.1,0.1,No,3,3,4,3,2,2026-06-12,,Active,No,
100084,Cynthia,Caldwell,41,Female,6,22,2,58000,4830,0.1,0.1,No,7,3,1,3,2,2026-06-11,,Active,No,
100085,Cindy,Anderson,29,Female,2,5,3,76900,6410,3.9,0.9,Yes,4,1,3,3,3,2022-08-03,,Active,No,
100086,Timothy,Duncan,40,Male,5,19,3,71000,5920,0.1,0.1,Yes,34,3,3,3,3,2026-04-02,2026-05-24,Terminated,Yes,Relocation
100087,John,Mueller,34,Male,1,4,3,89900,7490,0.4,0.4,No,9,2,2,3,2,2026-03-04,,Active,No,
100088,Rhonda,Lee,54,Female,1,1,4,75500,6290,4.0,1.0,Yes,13,4,3,3,3,2022-07-15,,Active,No,
100089,Brent,Jordan,33,Male,4,16,3,84000,7000,0.4,0.4,No,1,3,2,3,3,2026-02-04,,Active,No,
100090,Jessica,Owens,28,Female,4,16,5,122900,10240,2.6,0.6,Yes,9,1,2,3,3,2023-12-08,,Active,No,
100091,Nicholas,Nunez,19,Male,6,25,5,116800,9730,0.1,0.1,No,6,4,3,4,4,2026-06-04,,Active,No,
100092,William,Garcia,44,Male,2,7,3,76300,6360,2.5,2.5,No,1,4,2,4,2,2024-01-24,,Active,No,
100093,Jennifer,Morgan,21,Female,7,26,3,57600,4800,1.4,1.1,Yes,7,3,4,3,2,2024-09-28,2026-02-19,Terminated,Yes,Career Growth / Promotion Elsewhere
100094,Scott,Wright,22,Male,8,32,2,66200,5520,0.1,0.1,No,14,2,3,2,3,2024-09-18,2024-11-10,Terminated,Yes,Family / Personal Reasons
100095,Cheryl,West,48,Female,5,20,3,73600,6130,2.3,0.6,Yes,1,1,3,2,4,2021-07-12,2023-10-31,Terminated,Yes,Performance
